Step	Training Loss	Validation Loss	Bleu	Ter	Rouge1	Rougel
24000	0.309400	0.364769	35.804073	50.479316	0.674440	0.651663
24250	0.308400	0.365015	35.864446	50.617497	0.673176	0.650557
24500	0.307600	0.364590	35.842228	50.379998	0.674453	0.652523
24750	0.306000	0.364375	36.129369	50.336817	0.673081	0.650594
25000	0.308900	0.364502	36.202535	50.012954	0.674500	0.652538
25250	0.287800	0.365414	36.070515	50.211590	0.674236	0.651899
25500	0.291500	0.365695	35.943574	50.306590	0.673919	0.652410
25750	0.293300	0.366079	36.131365	50.323862	0.674009	0.651597
26000	0.289500	0.366756	35.994090	50.073409	0.674257	0.652109
26250	0.292800	0.366381	35.957873	50.302271	0.672936	0.650893
26500	0.292800	0.366545	35.883776	50.487952	0.672439	0.650189
26750	0.288500	0.366374	36.002988	50.280681	0.673790	0.652087
27000	0.288700	0.366866	35.983648	50.168408	0.673834	0.651730
27250	0.293400	0.366876	36.110733	50.086363	0.672855	0.651495
27500	0.287800	0.367143	35.796687	50.418862	0.672914	0.650937
27750	0.292800	0.366890	36.239989	49.987046	0.675399	0.653029
28000	0.294200	0.366449	35.880991	50.349771	0.673311	0.651199
28250	0.291000	0.366321	36.234794	50.077727	0.673746	0.651952
28500	0.291900	0.366183	36.047587	50.133863	0.674117	0.651819
28750	0.295300	0.366703	35.648102	50.453407	0.671101	0.649023
29000	0.299400	0.366856	35.760519	50.414544	0.673624	0.651304
29250	0.286000	0.367417	36.185723	50.177045	0.674315	0.651863
29500	0.274800	0.367466	35.937113	50.116590	0.673830	0.651764
29750	0.279200	0.367530	35.750651	50.474998	0.673009	0.650551
30000	0.280500	0.368042	35.853801	50.526816	0.673292	0.650763
30250	0.280200	0.368271	35.771580	50.552725	0.673126	0.651002
30500	0.280600	0.368041	35.973847	50.470680	0.674589	0.652656
30750	0.283400	0.368616	35.846358	50.449089	0.674849	0.652160
31000	0.276900	0.368190	35.995201	50.405907	0.674256	0.651752
31250	0.283200	0.368769	35.876132	50.453407	0.674510	0.651760
31500	0.282000	0.368247	35.768095	50.600225	0.673128	0.650311
31750	0.285600	0.368262	36.063179	50.116590	0.675093	0.653301
32000	0.283400	0.368734	35.949358	50.487952	0.672951	0.650791
32250	0.284100	0.368603	35.886603	50.496589	0.672970	0.650750
32500	0.283700	0.368731	35.850910	50.526816	0.673665	0.651601
32750	0.284900	0.368739	35.891902	50.319544	0.674745	0.652741
33000	0.288400	0.368594	35.913133	50.328180	0.673411	0.651286
33250	0.281100	0.368666	35.795579	50.569997	0.672072	0.649610
